iter	Passed	Remaining
0	23	2278
1	23	1175
2	25	809
3	25	623
4	26	512
5	28	438
6	29	386
7	29	341
8	30	311
9	31	285
10	32	265
11	33	247
12	34	233
13	36	221
14	37	210
15	38	200
16	39	191
17	39	181
18	40	174
19	41	167
20	42	161
21	44	156
22	45	150
23	46	145
24	47	141
25	63	181
26	65	177
27	66	171
28	67	166
29	68	160
30	69	155
31	70	149
32	71	145
33	72	141
34	73	136
35	74	133
36	75	129
37	77	125
38	78	122
39	79	119
40	80	115
41	81	112
42	82	109
43	83	106
44	84	103
45	85	100
46	86	97
47	87	95
48	88	92
49	89	89
50	90	86
51	91	84
52	92	82
53	93	79
54	94	77
55	95	75
56	96	72
57	97	70
58	98	68
59	100	66
60	101	64
61	101	62
62	102	60
63	103	58
64	104	56
65	105	54
66	106	52
67	107	50
68	108	48
69	110	47
70	111	45
71	112	43
72	113	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	120	31
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	127	20
86	128	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
